ID,Eco_Final_Pred,Movement_Final_Pred,Dmg_Final_Pred,Flash_Final_Pred,Grenade_Final_Pred,Kill_Final_Pred,Wf_Final_Pred,isCheater
拿捏祁隽逸_g152-n-20230826115254918248097,4.9539686e-08,1.4746205e-08,2.6119226e-08,5.4909627e-12,0.0,4.935793e-22,0.076759726,0
ID丨ID_g152-n-20230826115254918248097,4.9539686e-08,1.4746205e-08,2.6119231e-08,3.0629405e-10,5.7889137e-37,3.782012e-29,9.326411e-08,0
阿宽小道_g152-n-20230826115254918248097,4.9539686e-08,1.4746205e-08,2.611923e-08,8.002844e-12,0.0,7.894873399999999e-19,0.1488832,0
给口药_g152-n-20230826115254918248097,4.9539686e-08,1.4746205e-08,2.6119224e-08,2.4941382e-11,0.0,1.2988532e-21,0.364436,0
10091_g152-n-20230826115254918248097,4.9539683e-08,1.4746206e-08,2.6119231e-08,1.7278788e-10,0.0,4.2967925e-26,1.354564e-08,0
允允冲刺花5_g152-n-20230826115254918248097,4.9539686e-08,1.4746205e-08,2.6119235e-08,1.9732757e-11,0.0,1.0959612000000001e-24,0.00943629,1
安安22ww_g152-n-20230826115254918248097,4.9539686e-08,1.4746206e-08,2.6119224e-08,1.2793049e-11,0.0,5.9540715e-30,0.07299913,0
祁隽逸_g152-n-20230826115254918248097,4.9539686e-08,1.4746205e-08,2.6119224e-08,3.3182153e-12,0.0,1.30939646e-20,0.095626645,0
一根板蓝根_g152-n-20230826115254918248097,4.9539686e-08,1.4746205e-08,2.6119226e-08,5.4909627e-12,0.0,5.5732846e-23,0.5149515,0
榉酱_g152-n-20230826115254918248097,4.9539686e-08,1.4746205e-08,2.6119224e-08,1.5054734e-11,6.884183600000001e-38,3.027875e-29,4.9068944e-07,0
Morant1026_g152-n-20230822175432120096277,4.9539683e-08,1.4746205e-08,2.6119226e-08,5.4909627e-12,0.0,1.1972828e-21,0.08321767,0
人生需要笑对_g152-n-20230822175432120096277,4.9539683e-08,1.4746205e-08,2.6119231e-08,3.5800092e-11,0.0,1.3738514000000001e-22,0.025660165,0
hsg12345666_g152-n-20230822175432120096277,4.9539683e-08,1.4746205e-08,2.6119226e-08,5.451182e-12,0.0,6.4368415e-24,0.17588663,0
敬队友也敬对手_g152-n-20230822175432120096277,4.9539683e-08,1.4746205e-08,2.6119226e-08,5.4909627e-12,0.0,6.4314686e-24,0.15198497,0
武大一郎_g152-n-20230822175432120096277,4.9539683e-08,1.4746205e-08,2.6119235e-08,1.4055156e-12,7.670192e-37,2.4575045e-21,0.18512364,0
misulu_g152-n-20230822175432120096277,4.9539683e-08,1.4746205e-08,2.611923e-08,2.3076e-11,1.7511695999999999e-37,4.582927e-22,0.26560032,0
mrosie0312_g152-n-20230822175432120096277,4.9539683e-08,1.4746205e-08,2.6119226e-08,2.7056757e-10,4.5660713e-18,4.2746542e-24,0.24289979,0
清高小泽_g152-n-20230822175432120096277,4.9539683e-08,1.4746205e-08,2.6119226e-08,1.7108151e-10,0.0,2.8755092e-25,0.0028355354,1
用户ACCEED_g152-n-20230822175432120096277,4.9539683e-08,1.4746205e-08,2.6119224e-08,8.696583e-12,0.0,2.3348255999999996e-18,0.074861236,0
SKY`FLY_g152-n-20230822175432120096277,4.9539683e-08,1.4746205e-08,2.6119233e-08,7.531953e-11,0.0,4.1089680000000004e-23,0.09617897,0
ღ神秘嘉宾ღ_g161-20230817233926035666109,4.9539686e-08,1.4746207e-08,2.6119222e-08,3.6748153e-11,0.0,5.1465749999999995e-20,0.6507425,0
SB110.._g161-20230817233926035666109,4.9539686e-08,1.4746207e-08,2.6119224e-08,4.75935e-10,4.9857645e-36,7.4300794e-33,3.8958043e-13,0
倒霉蛋派大星。_g161-20230817233926035666109,4.9539686e-08,1.4746207e-08,2.6119226e-08,1.425071e-14,0.0,4.9097755999999995e-25,1.3770253e-28,0
LZRswag_g161-20230817233926035666109,4.9539686e-08,1.4746207e-08,2.6119224e-08,2.9592774e-12,0.0,2.9128113e-26,2.9742836e-10,0
lucang78098ui_g161-20230817233926035666109,4.9539686e-08,1.4746207e-08,2.6119226e-08,9.089191e-11,2.6524838e-05,1.9544476000000002e-27,1.1950731e-31,1
希望你带了脑子_g161-20230817233926035666109,4.9539686e-08,1.4746207e-08,2.6119224e-08,3.9830307e-25,0.0,7.357632500000001e-32,0.4306772,0
NiceTry1_g161-20230817233926035666109,4.9539686e-08,1.4746207e-08,2.6119224e-08,2.259327e-09,0.0,6.828128500000001e-28,0.19081497,0
xinbihanw_g161-20230817233926035666109,4.9539686e-08,1.4746207e-08,2.6119224e-08,4.28459e-11,2.9076488e-36,2.3891858000000003e-27,0.0,0
残局别看我真的菜_g161-20230816143402918101011,4.9539683e-08,1.4746206e-08,2.6119224e-08,3.7462228e-11,3.0957900000000004e-40,2.173772e-18,0.13815457,0
爱吃汉堡的MAN_g161-20230816143402918101011,4.9539683e-08,1.4746206e-08,2.6119228e-08,6.251433e-10,0.0,3.1390820000000003e-22,0.101189055,0
蚂蚱别_g161-20230816143402918101011,4.9539683e-08,1.4746207e-08,2.6119224e-08,2.3848364e-11,0.0,2.5454674e-20,4.5445497e-22,0
扇渊_g161-20230816143402918101011,4.9539683e-08,1.4746206e-08,2.611923e-08,1.6654131e-11,0.0,1.4717371e-19,7.8062835e-23,0
lucang78098ui_g161-20230816143402918101011,4.9539683e-08,1.4746206e-08,2.6119224e-08,6.7182883e-12,1.5784762e-36,7.621369e-18,0.15398581,1
狂战在手_g161-20230816143402918101011,4.9539683e-08,1.4746206e-08,2.6119226e-08,1.2138536e-09,6.0044305e-12,1.1387956000000002e-16,0.08374917,0
strobeeeee_g161-20230816143402918101011,4.9539683e-08,1.4746206e-08,2.6119233e-08,3.3607464e-11,0.0,2.4312066999999998e-23,0.059989233,0
南隐_g161-20230816143402918101011,4.9539683e-08,1.4746206e-08,2.6119231e-08,1.5815519e-11,0.0,6.3303076e-16,1.1511924e-22,0
xinbihanw_g161-20230816143402918101011,4.9539683e-08,1.4746206e-08,2.6119226e-08,3.4521233e-10,0.0,6.754949e-24,0.22849202,0
哥的大宝贝_g151-n-20230828231253676781737,4.9539686e-08,1.4746206e-08,2.6119226e-08,1.08780355e-11,0.0,4.618956e-31,9.884832999999998e-38,0
YSC030611_g151-n-20230828231253676781737,4.9539686e-08,1.4746206e-08,2.6119233e-08,5.4909627e-12,0.0,2.8491357e-26,0.0,0
失败的闷_g151-n-20230828231253676781737,4.9539686e-08,1.4746206e-08,2.6119226e-08,5.2787153e-11,2.099515e-37,8.704504e-29,2.1817237999999997e-25,0
misikamosikamiqi_g151-n-20230828231253676781737,4.9539686e-08,1.4746206e-08,2.6119226e-08,5.4909627e-12,0.0,1.2903773e-19,4.515793e-32,0
haqo76_g151-n-20230828231253676781737,4.9539686e-08,1.4746206e-08,2.6119228e-08,4.6888642e-11,0.0,5.0219806e-13,5.3073299999999995e-27,1
窝窝头一块钱4_g151-n-20230828231253676781737,4.9539686e-08,1.4746206e-08,2.611923e-08,2.7148787e-15,0.0,3.2487558e-17,0.27791202,0
都是小丑Joker_g151-n-20230828231253676781737,4.9539686e-08,1.4746206e-08,2.6119226e-08,7.50179e-12,0.0,3.230912e-25,7.628281e-31,0
nxqa85_g151-n-20230828231253676781737,4.9539686e-08,1.4746206e-08,2.611923e-08,3.5716272e-10,0.0,1.5494654e-12,0.062254544,0
J_aion_g151-n-20230828231253676781737,4.9539686e-08,1.4746206e-08,2.6119224e-08,8.8371926e-10,0.0,5.5069e-20,0.118687905,0
小钧努力上分_g151-n-20230828231253676781737,4.9539686e-08,1.4746206e-08,2.6119224e-08,4.3704347e-13,0.0,2.4914605e-21,0.37342015,0
花开柳相avL_g159-n-20230819000803456418020,4.9539683e-08,1.4746206e-08,2.6119231e-08,3.816609e-12,0.0,1.9968104e-17,0.06975511,1
45788322_g159-n-20230819000803456418020,4.9539683e-08,1.4746206e-08,2.6119235e-08,1.1805237e-10,3.474124e-18,2.5756188e-24,2.3397029e-11,0
qwrgy123_g159-n-20230819000803456418020,4.9539683e-08,1.4746206e-08,2.6119233e-08,3.2905074e-11,0.0,1.8438253e-24,0.04016512,0
wutang。_g159-n-20230819000803456418020,4.9539683e-08,1.4746206e-08,2.6119226e-08,5.4909627e-12,0.0,1.0661747e-31,0.018371908,0
manbin_g159-n-20230819000803456418020,4.9539683e-08,1.4746206e-08,2.6119233e-08,2.3685676e-12,0.0,3.057202e-18,5.433132e-27,0
才华强盗_g159-n-20230819000803456418020,4.9539683e-08,1.4746206e-08,2.6119233e-08,2.2318584e-10,0.0,1.2494146e-22,4.003831e-09,0
柚子爱喝_g159-n-20230819000803456418020,4.9539683e-08,1.4746206e-08,2.6119224e-08,1.3012418e-10,0.0,4.855288e-16,1.1699005e-21,0
菜心团子ツ_g159-n-20230819000803456418020,4.9539683e-08,1.4746206e-08,2.6119226e-08,1.1688181e-16,0.0,1.8934189e-27,0.08118958,0
TONG-JIA_g159-n-20230819000803456418020,4.9539683e-08,1.4746206e-08,2.6119226e-08,2.2223709e-11,4.6326075000000005e-26,1.1350450000000001e-18,1.9573484e-08,0
Sao_gege_g151-n-20230819135549094031424,4.9539683e-08,1.4746206e-08,2.6119228e-08,5.4909627e-12,0.0,2.3037522e-25,0.9224167,0
L浮生未歇S_g151-n-20230819135549094031424,4.9539683e-08,1.4746206e-08,2.611923e-08,5.4909627e-12,0.0,8.926239e-22,0.01000603,0
尼古-拉斯赵四_g151-n-20230819135549094031424,4.9539683e-08,1.4746206e-08,2.6119226e-08,2.1516746e-14,0.0,2.7543606999999997e-19,0.17433764,0
坤坤cc_g151-n-20230819135549094031424,4.9539683e-08,1.4746206e-08,2.6119224e-08,1.1401601e-11,0.0,1.3439908e-23,0.32352993,1
保安队队员014_g151-n-20230819135549094031424,4.9539683e-08,1.4746206e-08,2.6119226e-08,5.4909627e-12,0.0,1.0390274000000001e-21,0.31084248,0
丶XXXTENTACION_g151-n-20230819135549094031424,4.9539683e-08,1.4746206e-08,2.6119228e-08,5.4909627e-12,0.0,3.1058797e-19,1.30101965e-14,0
不是用户_g151-n-20230819135549094031424,4.9539683e-08,1.4746206e-08,2.6119231e-08,6.6697654e-12,0.0,3.249738e-31,0.73643136,0
Maxiao667788_g161-20230815223819301333467,4.9539686e-08,1.4746207e-08,2.6119228e-08,1.4195334e-11,0.0,1.8276906e-30,0.14231008,0
lwh031012_g161-20230815223819301333467,4.9539686e-08,1.4746207e-08,2.6119224e-08,7.295149e-10,0.0,9.820318599999999e-29,2.9914124e-24,0
一起来养坤坤_g161-20230815223819301333467,4.9539686e-08,1.4746207e-08,2.6119224e-08,9.211828e-12,0.0,2.7717711999999997e-18,8.3679896e-11,0
Tar0__g161-20230815223819301333467,4.9539686e-08,1.4746207e-08,2.6119226e-08,6.492424e-11,0.0,6.164288000000001e-33,6.506136300000001e-16,1
啥也不会就会鸭梨_g161-20230815223819301333467,4.9539683e-08,1.4746207e-08,2.6119224e-08,3.7210235e-11,0.0,1.9314542e-25,1.6194006e-36,0
jookers_g161-20230815223819301333467,4.9539686e-08,1.4746207e-08,2.6119233e-08,8.6840593e-13,0.0,6.2259914000000004e-21,2.4109971999999998e-23,0
煲宰范_g161-20230815223819301333467,4.9539686e-08,1.4746207e-08,2.6119226e-08,6.693101e-10,0.0,1.6209705e-33,1.938267e-06,0
Heraaaaa_g161-20230815223819301333467,4.9539686e-08,1.4746207e-08,2.6119226e-08,1.8881366e-14,0.0,2.3158319e-29,1.0016461e-15,0
我要做光腚大哥哥_g161-20230815223819301333467,4.9539686e-08,1.4746207e-08,2.6119224e-08,5.4909627e-12,0.0,2.0410848e-26,7.151348e-35,0
gedrek_g161-20230815223819301333467,4.9539683e-08,1.4746207e-08,2.6119226e-08,5.4909627e-12,0.0,3.8234553999999995e-18,4.314775e-08,0
是你的石原里美啊_g151-n-20230823211010596414453,4.9539683e-08,1.4746206e-08,2.611923e-08,8.354669e-14,0.0,4.503379e-24,0.037406266,0
ccggcc3_g151-n-20230823211010596414453,4.9539683e-08,1.4746206e-08,2.6119226e-08,6.552407e-11,0.0,1.0902214e-15,0.06983822,0
徐工一支花_g151-n-20230823211010596414453,4.9539683e-08,1.4746206e-08,2.6119228e-08,8.494248e-11,0.0,1.0232989e-20,0.018907836,0
网二扛把子_g151-n-20230823211010596414453,4.9539683e-08,1.4746206e-08,2.6119226e-08,2.2504496e-12,0.0,1.588178e-20,0.07554566,0
航hang._g151-n-20230823211010596414453,4.9539683e-08,1.4746206e-08,2.6119226e-08,1.6051237e-12,0.0,6.179741e-23,3.4105802e-14,0
704935207_g151-n-20230823211010596414453,4.9539683e-08,1.4746205e-08,2.6119233e-08,3.6994405e-14,0.0,1.0455393e-28,1.851171e-08,0
CWJM7704_g151-n-20230823211010596414453,4.9539683e-08,1.4746206e-08,2.611923e-08,1.3455442e-11,0.0,5.1928202e-23,0.068850145,0
一条ak47_g151-n-20230823211010596414453,4.9539683e-08,1.4746206e-08,2.6119224e-08,1.7909499e-11,0.0,3.3850653000000005e-22,1.7787792e-05,0
Dennison_g151-n-20230823211010596414453,4.9539683e-08,1.4746206e-08,2.6119224e-08,1.0256787e-11,9.981136e-25,1.7006646000000002e-22,0.25569302,0
zch145672_g152-v-20230827212801040839793,4.9539683e-08,1.4746206e-08,2.6119226e-08,1.4176983e-11,0.0,6.2713830000000005e-22,0.10092126,1
Sirius0318_g152-v-20230827212801040839793,4.9539683e-08,1.4746206e-08,2.611923e-08,4.2344015e-12,4.727389e-37,1.4612792e-26,0.08694526,0
你白勺叠_g152-v-20230827212801040839793,4.9539683e-08,1.4746206e-08,2.6119235e-08,1.27853466e-11,0.0,8.4058133e-14,2.7402143e-30,0
江御。_g152-v-20230827212801040839793,4.9539683e-08,1.4746206e-08,2.6119235e-08,5.6220917e-11,2.0688845000000002e-26,3.7708052e-24,0.008437807,0
凯尔希老公鱼了_g152-v-20230827212801040839793,4.9539683e-08,1.4746205e-08,2.6119228e-08,2.121421e-12,0.0,1.0506775e-27,5.9730826e-10,0
礼堂顶针a_g152-v-20230827212801040839793,4.9539683e-08,1.4746206e-08,2.6119235e-08,2.9739624e-12,1.0024482e-34,3.155018e-20,1.0861791e-35,0
鲤鱼瞩目林_g152-v-20230827212801040839793,4.9539683e-08,1.4746206e-08,2.6119231e-08,2.0288869e-10,0.0,1.3231711e-20,5.565057e-13,0
中单美羊羊_g152-v-20230827212801040839793,4.9539683e-08,1.4746206e-08,2.6119226e-08,1.1792148e-12,0.0,3.543422e-32,1.6576561e-06,0
jzx125800zx1_g152-v-20230827212801040839793,4.9539683e-08,1.4746206e-08,2.6119226e-08,6.218061e-11,0.0,3.652907e-23,0.24067982,1
不会ak的小管_g152-v-20230827212801040839793,4.9539683e-08,1.4746206e-08,2.6119231e-08,5.4909627e-12,0.0,7.4349914e-19,0.007094108,0
